"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"Giornale italiano di cardiologia (2006)","G Ital Cardiol (Rome)","1827-6806","1972-6481","101263411"
"Comparative biochemistry and physiology. Part D, Genomics & proteomics","Comp Biochem Physiol Part D Genomics Proteomics","1744-117X","1878-0407","101270611"
"Acta biomaterialia","Acta Biomater","1742-7061","1878-7568","101233144"
"Archives of Iranian medicine","Arch Iran Med","1029-2977","1735-3947","100889644"
"Biocontrol science","Biocontrol Sci","1342-4815","1884-0205","9712121"
"Communication & medicine","Commun Med","1612-1783","1613-3625","101201068"
"Comprehensive ophthalmology update","Compr Ophthalmol Update","1527-7313","1937-8394","100910750"
"Discovery medicine","Discov Med","1539-6509","1944-7930","101250006"
"Integrated environmental assessment and management","Integr Environ Assess Manag","1551-3777","1551-3793","101234521"
"International journal of environmental research and public health","Int J Environ Res Public Health","1661-7827","1660-4601","101238455"
"International wound journal","Int Wound J","1742-4801","1742-481X","101230907"
"The Journal of animal ecology","J Anim Ecol","0021-8790","1365-2656","0376574"
"Journal of the Royal Society, Interface","J R Soc Interface","1742-5689","1742-5662","101217269"
"Medicina intensiva","Med Intensiva","0210-5691","1578-6749","9207689"
"Medicinal chemistry (Shariqah (United Arab Emirates))","Med Chem","1573-4064","1875-6638","101240303"
"Modern rheumatology","Mod Rheumatol","1439-7595","1439-7609","100959226"
"Molecular & cellular biomechanics : MCB","Mol Cell Biomech","1556-5297","1556-5300","101253756"
"The ocular surface","Ocul Surf","1542-0124","1937-5913","101156063"
"Pain physician","Pain Physician","1533-3159","2150-1149","100954394"
"Primary care respiratory journal : journal of the General Practice Airways Group","Prim Care Respir J","1471-4418","1475-1534","101121543"
"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia","Saudi J Kidney Dis Transpl","1319-2442","","9436968"
"Stapp car crash journal","Stapp Car Crash J","1532-8546","","101133951"
"Tanzania health research bulletin","Tanzan Health Res Bull","0856-6496","","101262014"
"Future oncology (London, England)","Future Oncol","1479-6694","1744-8301","101256629"
"Journal of combinatorial optimization","J Comb Optim","1382-6905","","101270744"
"IFMBE proceedings","IFMBE Proc","1680-0737","","101270746"
"International journal of integrated care","Int J Integr Care","","1568-4156","101214424"
"European journal of wildlife research","Eur J Wildl Res","1612-4642","","101242668"
"Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme","Appl Physiol Nutr Metab","1715-5312","1715-5320","101264333"
"Problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny","Probl Sotsialnoi Gig Zdravookhranenniiai Istor Med","0869-866X","2412-2106","101270373"
"Journal of perioperative practice","J Perioper Pract","1750-4589","2515-7949","101271023"
"Forschende Komplementarmedizin (2006)","Forsch Komplementmed","1661-4119","1661-4127","101269884"
"Historical biology","Hist Biol","0891-2963","1029-2381","9426321"
"Physiological reviews. Supplement","Physiol Rev Suppl","0554-1395","","0401221"
"Deutscher Gesundheitskalender","Dtsch Gesundheit","","","16610100R"
"Genetics and genetic engineering","Genet Genet Eng","1546-6426","","101196690"
"CNS & neurological disorders drug targets","CNS Neurol Disord Drug Targets","1871-5273","1996-3181","101269155"
"Endocrine, metabolic & immune disorders drug targets","Endocr Metab Immune Disord Drug Targets","1871-5303","2212-3873","101269157"
"Carbon balance and management","Carbon Balance Manag","","1750-0680","101271519"
"Journal of molecular signaling","J Mol Signal","","1750-2187","101271526"
"Scoliosis","Scoliosis","","1748-7161","101271527"
"Systems & control letters","Syst Control Lett","","0167-6911","101272575"
"Journal of economics & management strategy","J Econ Manag Strategy","1058-6407","1530-9134","9889171"
"Nonlinearity in biology, toxicology, medicine","Nonlinearity Biol Toxicol Med","1540-1421","1540-143X","101163638"
"Bioetica & debat","Bioet Debat","1579-4865","","9891318"
"Feminist legal studies","Fem Leg Stud","0966-3622","","101270453"
"International journal of law, policy, and the family","Int J Law Policy Family","1360-9939","","101270454"
"Infant behavior & development","Infant Behav Dev","0163-6383","1934-8800","7806016"
"Clinical psychology : a publication of the Division of Clinical Psychology of the American Psychological Association","Clin Psychol (New York)","0969-5893","1468-2850","9438459"
"Indian pacing and electrophysiology journal","Indian Pacing Electrophysiol J","","0972-6292","101157207"
"Clinical research in cardiology : official journal of the German Cardiac Society","Clin Res Cardiol","1861-0684","1861-0692","101264123"
"Journal of clinical pathology. Supplement (College of Pathologists)","J Clin Pathol Suppl Coll Pathol","","","101273195"
"Explore (New York, N.Y.)","Explore (NY)","1550-8307","1878-7541","101233160"
"Journal of elder abuse & neglect","J Elder Abuse Negl","0894-6566","1540-4129","8914370"
"Environmental chemistry (Collingwood, Vic.)","Environ Chem","1448-2517","1449-8979","101235528"
"Obesity (Silver Spring, Md.)","Obesity (Silver Spring)","1930-7381","1930-739X","101264860"
"The plant genome","Plant Genome","","1940-3372","101273919"
"Re/views in environmental science and bio/technology","Rev Environ Sci Biotechnol","","1572-9826","101274186"
"Journal of medical sciences (Taipei, Taiwan)","J Med Sci","1011-4564","","101207177"
"Cell preservation technology","Cell Preserv Technol","1538-344X","","101137840"
"Topics in clinical nutrition","Top Clin Nutr","0883-5691","","8704634"
"Journal of modern applied statistical methods : JMASM","J Mod Appl Stat Methods","1538-9472","","101159790"
"Signal processing","Signal Processing","","0165-1684","101273722"
"Reviews in urology","Rev Urol","1523-6161","2153-8182","100889067"
"Arctic, antarctic, and alpine research","Arct Antarct Alp Res","1523-0430","","101274748"
"Molecular diagnosis & therapy","Mol Diagn Ther","1177-1062","1179-2000","101264260"
"Journal of gastrointestinal and liver diseases : JGLD","J Gastrointestin Liver Dis","1841-8724","1842-1121","101272825"
"Journal of environmental science & engineering","J Environ Sci Eng","","","101273917"
"Journal of cardiovascular medicine (Hagerstown, Md.)","J Cardiovasc Med (Hagerstown)","1558-2027","1558-2035","101259752"
"The journal of physiological sciences : JPS","J Physiol Sci","1880-6546","1880-6562","101262417"
"Anesthesiology clinics","Anesthesiol Clin","1932-2275","","101273663"
"Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES","Ulus Travma Acil Cerrahi Derg","1306-696X","","101274231"
"Cognitive neuropsychology","Cogn Neuropsychol","0264-3294","1464-0627","8411889"
"Behavioral healthcare","Behav Healthc","1931-7093","2167-9649","101269325"
"Metabolomics : Official journal of the Metabolomic Society","Metabolomics","1573-3882","1573-3890","101274889"
"CBE life sciences education","CBE Life Sci Educ","","1931-7913","101269039"
"Games and economic behavior","Games Econ Behav","0899-8256","","101275006"
"International journal of nursing education scholarship","Int J Nurs Educ Scholarsh","2194-5772","1548-923X","101214977"
"Heterocycles","Heterocycles","0385-5414","","7513602"
"Vibrational Spectroscopy","Vib Spectrosc","0924-2031","","9885803"
"Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie","Transfus Med Hemother","1660-3796","1660-3818","101176417"
"Cardiovascular & hematological disorders drug targets","Cardiovasc Hematol Disord Drug Targets","1871-529X","2212-4063","101269160"
"Proceedings. Mathematical, physical, and engineering sciences","Proc Math Phys Eng Sci","1364-5021","1471-2946","9891746"
"Cutaneous and ocular toxicology","Cutan Ocul Toxicol","1556-9527","1556-9535","101266892"
"Journal of the Society for Integrative Oncology","J Soc Integr Oncol","1715-894X","1715-8958","101262057"
"The Journal of physics and chemistry of solids","J Phys Chem Solids","0022-3697","","0142100"
"Studia Asiatica (Bucharest, Romania)","Stud Asiat","1582-9111","","101276213"
"New hibernia review = Iris eireannach nua","New Hibernia Rev","1092-3977","1534-5815","101276207"
"Jahrbuch der Universitat Dusseldorf","Jahrb Univ Duesseld","0070-7457","","7505552"
"Osteopathic medicine and primary care","Osteopath Med Prim Care","","1750-4732","101274343"
"Infectious disorders drug targets","Infect Disord Drug Targets","1871-5265","2212-3989","101269158"
"Acute cardiac care","Acute Card Care","1748-2941","1748-295X","101276603"
"Iranian journal of biotechnology","Iran J Biotechnol","1728-3043","2322-2921","101276796"
"Californian journal of health promotion","Calif J Health Promot","","1545-8725","101193278"
"European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry","Eur Arch Paediatr Dent","1818-6300","1996-9805","101277157"
"Source code for biology and medicine","Source Code Biol Med","","1751-0473","101276533"
"Infectious agents and cancer","Infect Agent Cancer","","1750-9378","101276559"
"Sarcoma","Sarcoma","1357-714X","1369-1643","9709257"
"Bioinorganic chemistry and applications","Bioinorg Chem Appl","1565-3633","1687-479X","101200445"
"Experimental diabetes research","Exp Diabetes Res","1687-5214","1687-5303","101274844"
"Biology letters","Biol Lett","1744-9561","1744-957X","101247722"
"PLoS clinical trials","PLoS Clin Trials","","1555-5887","101257529"
"AACN advanced critical care","AACN Adv Crit Care","1559-7768","1559-7776","101269322"
"Journal of clinical outcomes management : JCOM","J Clin Outcomes Manag","1079-6533","1938-1336","9503754"
"Journal of empirical research on human research ethics : JERHRE","J Empir Res Hum Res Ethics","1556-2646","1556-2654","101273949"
"Linguistic inquiry (Online)","Linguist Inq","0024-3892","1530-9150","101278728"
"Syntax (Oxford, England)","Syntax","1368-0005","","101278738"
"Linguistics and philosophy","Linguist Philos","0165-0157","","101278735"
"Mammalian biology = Zeitschrift fur Saugetierkunde","Mamm Biol","1616-5047","1618-1476","101242502"
"Women and birth : journal of the Australian College of Midwives","Women Birth","1871-5192","1878-1799","101266131"
"Bulletin medical. Revue medicale francaise. Guide du praticien","Bull Med Rev Med Fr Guide Prat","","","15830120R"
"Biophysics","Biophysics (Oxf)","0006-3509","1555-6654","0376540"
"Health services & outcomes research methodology","Health Serv Outcomes Res Methodol","1387-3741","","9815809"
"Journal of developmental and physical disabilities","J Dev Phys Disabil","1056-263X","","9114160"
"Psychological inquiry","Psychol Inq","1047-840X","1532-7965","9010521"
"Computational statistics & data analysis","Comput Stat Data Anal","0167-9473","1872-7352","100960938"
"International journal of biomedical science : IJBS","Int J Biomed Sci","1550-9702","1555-2810","101231951"
"Profiles in healthcare communications","Profiles Healthc Commun","1931-9592","","101279978"
"Evolutionary ecology","Evol Ecol","0269-7653","1573-8477","9882858"
"Journal of burns and wounds","J Burns Wounds","","1554-0766","101280410"
"Journal of ornithology","J Ornithol","2193-7192","2193-7206","101242761"
"Genome informatics. International Conference on Genome Informatics","Genome Inform","0919-9454","","101280573"
"Urban history","Urban History","0963-9268","1469-8706","101281000"
"Psychological services","Psychol Serv","1541-1559","1939-148X","101214316"
"Acta reumatologica portuguesa","Acta Reumatol Port","0303-464X","2184-8777","0431702"
"Quintessence international, dental digest","Quintessence Int Dent Dig","","","101281344"
"Quintessence international","Quintessence Int (Berl)","","","101281345"
"Tijdschrift voor psychiatrie","Tijdschr Psychiatr","0303-7339","","0423731"
"Journal of preventive medicine and hygiene","J Prev Med Hyg","1121-2233","2421-4248","9214440"
"Clinical child psychology and psychiatry","Clin Child Psychol Psychiatry","1359-1045","1461-7021","9604507"
"Allergology international : official journal of the Japanese Society of Allergology","Allergol Int","1323-8930","1440-1592","9616296"
"Journal of clinical and experimental hematopathology : JCEH","J Clin Exp Hematop","1346-4280","1880-9952","101141257"
"Worldviews on evidence-based nursing","Worldviews Evid Based Nurs","1545-102X","1741-6787","101185267"
"Neuro-degenerative diseases","Neurodegener Dis","1660-2854","1660-2862","101189034"
"IEEE/ACM transactions on computational biology and bioinformatics","IEEE/ACM Trans Comput Biol Bioinform","1545-5963","1557-9964","101196755"
"Maternal & child nutrition","Matern Child Nutr","1740-8695","1740-8709","101201025"
"Expert opinion on drug metabolism & toxicology","Expert Opin Drug Metab Toxicol","1742-5255","1744-7607","101228422"
"Travel medicine and infectious disease","Travel Med Infect Dis","1477-8939","1873-0442","101230758"
"Systems biology","Syst Biol (Stevenage)","1741-2471","1741-248X","101232067"
"Nephrologie & therapeutique","Nephrol Ther","1769-7255","1872-9177","101248950"
"Molecular bioSystems","Mol Biosyst","1742-206X","1742-2051","101251620"
"Chronic illness","Chronic Illn","1742-3953","1745-9206","101253019"
"ChemMedChem","ChemMedChem","1860-7179","1860-7187","101259013"
"Nature clinical practice. Endocrinology & metabolism","Nat Clin Pract Endocrinol Metab","1745-8366","1745-8374","101261798"
"Nature clinical practice. Neurology","Nat Clin Pract Neurol","1745-834X","1745-8358","101261799"
