AADE editors' journal	Aade Ed. J.	AADE Ed J
Asia Pacific viewpoint	Asia Pac. Viewp.	Asia Pac Viewp
The Asia magazine	Asia Mag.	Asia Mag
Asia Pacific observer : a quarterly newsletter from the East-West Center	Asia Pac. Obs.	Asia Pac Obs
Program quarterly - The Asia Foundation. The Asia Foundation	Program Q. Asia Found.	Program Q Asia Found
The Asian journal of economics : a journal of the Society for Asian Development	Asian J. Econ.	Asian J Econ
Asian journal of economics and social studies	Asian J. Econ. Soc. Stud.	Asian J Econ Soc Stud
Centerviews (Honolulu, Hawaii)	Centerviews	Centerviews
Central Asia monitor	Cent. Asia Monit.	Cent Asia Monit
Asian studies (Quezon City, Philippines)	Asian Stud.	Asian Stud
Monografias de la Corporacion Centro Regional de la Poblacion	Monogr. Corp. Cent. Reg. Poblac.	Monogr Corp Cent Reg Poblac
Atoll research bulletin	Atoll Res. Bull.	Atoll Res Bull
Aussenwirtschaft : Zeitschrift fur internationale Wirtschaftsbeziehungen	Aussenwirtschaft	Aussenwirtschaft
Australian bulletin of labour	Aust. Bull. Labour	Aust Bull Labour
The Australian journal of agricultural and resource economics	Aust. J. Agric. Resour. Econ.	Aust J Agric Resour Econ
The Australian journal of Chinese affairs = Ao chung	Aust. J. Chin. Aff.	Aust J Chin Aff
Australian journal of geodesy, photogrammetry, and surveying	Aust. J. Geod. Photogramm. Surv.	Aust J Geod Photogramm Surv
Australian society	Aust. Soc.	Aust Soc
A.W.R. Bulletin. Association for the Study of the World Refugee Problem	Awr. Bull.	AWR Bull
CDE working paper. University of Wisconsin--Madison. Center for Demography and Ecology	Cde Work. Pap.	CDE Work Pap
Backgrounder (Washington, D.C.)	Backgrounder	Backgrounder
CEDPA world wide. Centre for Development and Population Activities	Cedpa World Wide	CEDPA World Wide
The Bangkok post	Bangkok Post	Bangkok Post
Banque	Banque	Banque
Central issues in anthropology : a journal of the Central States Anthropological Society	Cent. Issues Anthropol.	Cent Issues Anthropol
Statistiske efterretninger. Befolkning og valg	Statist. Efterret.	Statist Efterret
China law and practice	China Law Pract.	China Law Pract
Behaviormetrika	Behaviormetrika	Behaviormetrika
Benelux	Benelux	Benelux
Berliner geographische Studien	Berl. Geogr. Stud.	Berl Geogr Stud
Changing men (Madison, Wis.)	Chang. Men	Chang Men
Beyond relief	Beyond Relief	Beyond Relief
Bijdragen tot de geschiedenis	Bijdr. Geschied.	Bijdr Geschied
Biologia (Lahore, Pakistan)	Biologia	Biologia
Chemistry in Canada	Chem. Can.	Chem Can
Chicago policy review	Chic. Pol. Rev.	Chic Pol Rev
The China geographer	Chnia. Geogr.	Chnia Geogr
Bloomsbury geographer	Bloomsbury Geogr.	Bloomsbury Geogr
Zu guo	Zu Guo	Zu Guo
Jian kang bao	Jian Kang Bao	Jian Kang Bao
Bulletin de methodologie sociologique : BMS	Bull. Methodol. Sociol.	Bull Methodol Sociol
Boardroom reports	Boardr. Rep.	Boardr Rep
The Body forum	Body Forum	Body Forum
Boletim de informacao socio-economica	Bol. Inf. Socio Econ.	Bol Inf Socio Econ
Boletim sobre populacao, emprego e renda no nordeste	Bol. Popul. Emprego Renda Nordeste	Bol Popul Emprego Renda Nordeste
Boletin de la Real Sociedad Espanola de Historia Natural. Seccion biologica : organo del Instituto de Ciencias Naturales Jose de Acosta	Bol. R. Soc. Esp. Hist. Nat. Secc. Biol.	Bol R Soc Esp Hist Nat Secc Biol
Boletin de poblacion	Bol. Poblac.	Bol Poblac
Boletin de indicadores de coyuntura	Bol. Indic. Coyunt.	Bol Indic Coyunt
China newsletter	China Newsl.	China Newsl
Boletin mexicano de derecho comparado	Bol. Mex. Derecho Comp.	Bol Mex Derecho Comp
Boletin socioeconomico (Cali, Colombia : 1985)	Bol. Socioecon.	Bol Socioecon
Guo li Taiwan shi fan da xue Di li yan jiu suo di li yan jiu bao gao. Guo li Taiwan shi fan da xue. Di li yan jiu suo	Guo Li Taiwan Shi Fan Da Xue Di Li Yan Jiu Suo Di Li Yan Jiu Bao Gaob.	Guo Li Taiwan Shi Fan Da Xue Di li Yan Jiu Suo Di Li Yan Jiu Bao Gaob
Chinese geographical science	Chin. Geogr. Sci.	Chin Geogr Sci
Boletin (Instituto de Estudios de Poblacion y Desarrollo (Dominican Republic))	Boletin	Boletin
Brandeis review	Brandeis Rev.	Brandeis Rev
Brazilian economic studies	Braz. Econ. Stud.	Braz Econ Stud
Chinese environment & development (Armonk, N.Y.)	Chin. Environ. Dev.	Chin Environ Dev
British journal of sociology of education	Br. J. Sociol. Educ.	Br J Sociol Educ
British review of economic issues	Br. Rev. Econ. Issues	Br Rev Econ Issues
Broward review	Broward Rev.	Broward Rev
Chroniques d'actualite de la S.E.D.E.I.S	Chron. Actual. Sedeis.	Chron Actual SEDEIS
City journal (New York, N.Y.)	City J.	City J
Cityscape (Washington, D.C.)	Cityscape	Cityscape
Built environment	Built Environ.	Built Environ
Bulletin d'histoire politique	Bull. Hist. Polit.	Bull Hist Polit
Bulletin economique et social du Maroc	Bull. Econ. Soc. Maroc	Bull Econ Soc Maroc
Bulletin of francophone Africa	Bull. Francoph. Afr.	Bull Francoph Afr
Bulletin of the American Schools of Oriental Research. American Schools of Oriental Research	Bull. Am. Schools Orient. Res.	Bull Am Schools Orient Res
The bulletin of the Cleveland Medical Library. Cleveland Medical Library Association	Bull. Clevel. Med. Libr.	Bull Clevel Med Libr
Kao gu ren lei xue kan	Kao Ku. Jen. Lei Hsueh. Kan	Kao Ku Jen Lei Hsueh Kan
Coastal management : an international journal of marine environment, resources, law, and society	Coast. Manage.	Coast Manage
Bulletin of the Ghana Geographical Association	Bull. Ghana Geogr. Assoc.	Bull Ghana Geogr Assoc
Bulletin of the International Committee on Urgent Anthropological and Ethnological Research. International Committee on Urgent Anthropological and Ethnological Research	Bull. Int. Comm. Urgent Anthropol. Ethnol. Res.	Bull Int Comm Urgent Anthropol Ethnol Res
Co-existence (Glasgow, Scotland)	Coexistence.	Coexistence
Columbia journal of gender and law	Columbia J. Gend. Law	Columbia J Gend Law
The bulletin of the Society of University Cartographers. Society of University Cartographers	Bull. Soc. Univ. Cartogr.	Bull Soc Univ Cartogr
Bureau of Justice Statistics special report	Bur. Justice Stat. Spec. Rep.	Bur Justice Stat Spec Rep
Business and economic review (Columbia, S.C.)	Bus. Econ. Rev.	Bus Econ Rev
Business India	Businessindia.	BusinessIndia
Communist and post-communist studies	Communist Post Communist Stud.	Communist Post-Communist Stud
Communist economies	Communist Econ.	Communist Econ
Communist economies and economic transformation	Communist Econ. Econ. Transform.	Communist Econ Econ Transform
Communio (Spokane, Wash.)	Communio	Communio
Computers & mathematics with applications (Oxford, England : 1987)	Comput. Math. Appl.	Comput Math Appl
Cahiers africains d'administration publique = African administrative studies	Cah. Afr. Adm. Publique	Cah Afr Adm Publique
Cahiers de geographie du Quebec	Cah. Geogr. Que.	Cah Geogr Que
Cahiers de recherche sociologique	Cah. Rech. Sociol.	Cah Rech Sociol
Serie sciences de l'homme	Cah. Am. Lat. Ser. Sci. Homme.	Cah Am Lat Ser Sci Homme
Cahiers du Centre de recherches et d'etudes sur Paris et l'Ile-de-France (CREPIF)	Cah. Cent. Rech. Etud. Paris Lle. De France	Cah Cent Rech Etud Paris Lle de France
Comparative economic studies	Comp. Econ. Stud.	Comp Econ Stud
Cahiers economiques et sociaux	Cah. Econ. Soc.	Cah Econ Soc
Cahiers geographiques de Rouen	Cah. Geogr. Rouen	Cah Geogr Rouen
Cahiers techniques AFRO	Cah. Tech. Afro	Cah Tech AFRO
California anthropologist	Calif. Anthropol.	Calif Anthropol
Cambridge anthropology : a journal of the Department of Social Anthropology, Cambridge University	Camb. Anthropol.	Camb Anthropol
Canadian and international education. Education canadienne et internationale	Can. Int. Educ.	Can Int Educ
Computers & geosciences	Comput. Geosci.	Comput Geosci
Computers, environment and urban systems	Comput. Environ. Urban Syst.	Comput Environ Urban Syst
CARE briefs on development issues	Care Briefs Develop. Isssues.	CARE Briefs Develop Isssues
The Canadian journal of statistics = Revue canadienne de statistique	Can. J. Stat.	Can J Stat
Canadian women's studies = Les cahiers de la femme	Can. Womens. Stud.	Can Womens Stud
Cape Breton post	Cape Breton Post	Cape Breton Post
Caribbean affairs (Port of Spain, Trinidad and Tobago)	Caribb. Aff.	Caribb Aff
Carolina planning	Carol. Plann.	Carol Plann
Carta economica regional : CER	Carta Econ. Reg.	Carta Econ Reg
New Zealand cartography and geographic information systems : the journal of the New Zealand Cartographic Society	N. Z. Cartogr. Geogr. Inf. Sys.	N Z Cartogr Geogr Inf Sys
Catholic standard (Washington, D.C.)	Cathol. Stand.	Cathol Stand
Catholic update	Cathol. Update	Cathol Update
Catholic woman	Cathol. Woman	Cathol Woman
Catholic world	Cathol. World	Cathol World
Constellations (Oxford, England)	Constellations	Constellations
Contemporary Jewry	Contemp. Jew.	Contemp Jew
Contemporary Marxism	Contemp. Marx.	Contemp Marx
The Ethiopian herald	Ethiop. Herald	Ethiop Herald
Etude de la population africaine = African population studies	Etude Popul. Afr.	Etude Popul Afr
Contradictions	Contradictions	Contradictions
Espiral (Guadalajara, Mexico)	Espiral	Espiral
Estadistica panamena. Boletin	Estad. Panamena	Estad Panamena
Este pais (Mexico City, Mexico)	Este Pais	Este Pais
Estudios latinoamericanos (Mexico City, Mexico)	Estud. Latinoam.	Estud Latinoam
Estudios rurales latinoamericanos	Estud. Rurales Latinoam.	Estud Rurales Latinoam
Estudios sociales centroamericanos	Estud. Soc. Centroam.	Estud Soc Centroam
Etudes canadiennes. Canadian studies	Etud. Can.	Etud Can
Etudes d'histoire africaine	Etud. Hist. Afr.	Etud Hist Afr
Etudes & expansion	Etud. Expans.	Etud Expans
Etudes irlandaises	Etud. Irl.	Etud Irl
Etudes polemologiques	Etud. Polemol.	Etud Polemol
Etudes rwandaises	Etudes Rwandaises	Etudes Rwandaises
Esope : bi-mensuel social, politique, economique	Esope	Esope
Etudes zairoises	Etud. Zair.	Etud Zair
European foreign affairs review	Eur. Foreign Aff. Rev.	Eur Foreign Aff Rev
Contributions to Indian sociology	Contrib. Indian Sociol.	Contrib Indian Sociol
Contributions to political economy	Contrib. Polit. Econ.	Contrib Polit Econ
Cooperation and conflict	Coop. Confl.	Coop Confl
Country demographic profiles	Ctry. Demogr. Profiles	Ctry Demogr Profiles
European journal of marketing	Eur. J. Mark.	Eur J Mark
European journal of political research	Eur. J. Polit. Res.	Eur J Polit Res
Covertaction quarterly	Covertaction Q.	Covertaction Q
European law review	Eur. Law Rev.	Eur Law Rev
Coyuntura economica (Bogota, Colombia)	Coyunt. Econ.	Coyunt Econ
Revista europea de estudios latinoamericanos y del Caribe = European review of Latin American and Caribbean studies	Rev. Eur. Estud. Latinoam. Caribe	Rev Eur Estud Latinoam Caribe
European water pollution control : official publication of the European Water Pollution Control Association (EWPCA)	Eur. Water Pollut. Control	Eur Water Pollut Control
Creces / CONIN	Creces	Creces
Explorations in Renaissance culture	Explor. Renaiss. Cult.	Explor Renaiss Cult
Critical social research	Crit. Soc. Res.	Crit Soc Res
Critical sociology	Crit. Sociol. Eugene.	Crit Sociol (Eugene)
Critique of anthropology	Crit. Anthropol.	Crit Anthropol
The Crown agents review	Crown Agents Rev.	Crown Agents Rev
Cuadernos del CLAEH	Cuad. Claeh	Cuad CLAEH
Faits et tendances	Fait. Tend.	Fait Tend
Family circle (Mount Morris, Ill.)	Fam. Circle	Fam Circle
Family economics review	Fam. Econ. Rev.	Fam Econ Rev
FAO fisheries circular = FAO circulaire sur les peches = FAO circular de pesca	Fao Fish. Circ.	FAO Fish Circ
Cultural anthropology : journal of the Society for Cultural Anthropology	Cult. Anthropol.	Cult Anthropol
Culture (Canadian Ethnology Society)	Culture	Culture
Economic review (Federal Reserve Bank of Atlanta)	Econ. Rev.	Econ Rev
Economic review (Federal Reserve Bank of Dallas)	Econ. Rev. Dallas	Econ Rev (Dallas)
Business review (Federal Reserve Bank of Philadelphia)	Bus. Rev.	Bus Rev
Feedback : ICOMP newsletter on management of population programmes	Feedback	Feedback
Female health topics & diagnostic reporter	Female Health Top. Diagn. Report.	Female Health Top Diagn Report
Feminist economics	Fem. Econ.	Fem Econ
The Current digest of the post-Soviet press	Curr. Dig. Post Sov. Press	Curr Dig Post Sov Press
Czechoslovak economic digest	Czech. Econ. Dig.	Czech Econ Dig
Czechoslovak sociological review	Czechoslov. Sociol. Rev.	Czechoslov Sociol Rev
Daily (Statistics Canada)	Dly. Stat. Can.	Dly Stat Can
DA, West Asia report	Da West Asia Rep.	DA West Asia Rep
Financial times (North American edition)	Financ. Times	Financ Times
Finanz-archiv : Zeitschrift fur das Gesamte Finanzwesen	Finanzarchiv.	Finanzarchiv
Finisterra	Finisterra	Finisterra
Proceedings of the ... International Congress of Endocrinology. International Congress of Endocrinology	Proc. Int. Congr. Endocrinol.	Proc Int Congr Endocrinol
The Fletcher forum	Fletcher Forum	Fletcher Forum
The Fletcher forum of world affairs	Fletcher Forum World Aff.	Fletcher Forum World Aff
Focus: technical cooperation. Focus. Cooperacion tecnica. Focus. Cooperation technique	Focus Tech. Coop.	Focus Tech Coop
Folia geographica. Series geographica-oeconomica	Folia Geogr. Ser. Geogr. Oecon.	Folia Geogr Ser Geogr Oecon
Folk (Kobenhavn)	Folk	Folk
Das Argument	Argument	Argument
De economia	De Economia	De Economia
De Economist	Economist Leiden.	Economist (Leiden)
Defenders	Defenders	Defenders
Defense law journal	Def. Law J.	Def Law J
Demosta	Demosta	Demosta
Desarrollo rural en las Americas	Desarro. Rural Amer.	Desarro Rural Amer
Deseret news (Salt Lake City, Utah : 1964)	Deseret News	Deseret News
Desertification control	Desertif. Control	Desertif Control
Development brief	Dev. Brief	Dev Brief
Development directions	Dev. Dir.	Dev Dir
DEF : Development education forum	Def	DEF
Developpement-Quebec	Dev. Que.	Dev Que
Le Developpement voltaique	Dev. Volta.	Dev Volta
Dialectical anthropology	Dialect. Anthropol.	Dialect Anthropol
Diario de Centro America (Guatemala, Guatemala : 1880)	D. Cent. Am.	D Cent Am
Diario de Yucatan	D. Yucatan	D Yucatan
Differences	Differences	Differences
Domes : digest of Middle East studies	Domes	Domes
Il Diritto del lavoro	Dir. Lav.	Dir Lav
Eme eme; estudios dominicanos	Eme Eme Estud. Domin.	Eme Eme Estud Domin
Empleo y desempleo	Empl. Desempl.	Empl Desempl
Enfoque feminista	Enfoque Fem.	Enfoque Fem
Engineering and science	Eng. Sci.	Eng Sci
Environment and planning. D, Society & space	Environ. Plan. D	Environ Plan D
The Environmentalist	Environmentalist	Environmentalist
Environnement africain	Environ. Afr.	Environ Afr
Equinoxe (Cayenne, French Guiana)	Equinoxe	Equinoxe
Era socialista	Era Social.	Era Social
ERS spectrum	Ers Spectr.	ERS Spectr
Espaces et societes (Paris, France)	Espaces Soc.	Espaces Soc
Entscheidungen des Bundesgerichtshofes in Zivilsachen. Germany (West). Bundesgerichtshof	Entscheid. Bundesgerichtshofes Zivilsachen	Entscheid Bundesgerichtshofes Zivilsachen
Erdkundliches Wissen	Erdkd. Wissen	Erdkd Wissen
The Fookien times yearbook	Fookien Times Yearb.	Fookien Times Yearb
Forum mondial de la sante	Forum Mond. Sante	Forum Mond Sante
Daily report. People's Republic of China	Dly. Rep. Peoples. Repub. China	Dly Rep Peoples Repub China
Daily report. China	Dly. Rep. China	Dly Rep China
Forschungsjournal neue soziale Bewegungen	Forsch. J. Neue Soz. Beweg.	Forsch J Neue Soz Beweg
Forum for development studies	Forum Dev. Stud.	Forum Dev Stud
Forum; revista invatamintului superior	Forum Rev. Invat. Super.	Forum Rev Invat Super
Free China review	Free China Rev.	Free China Rev
Futur anterieur	Futur Anter.	Futur Anter
Gelisme dergisi = Studies in development	Gelis. Derg. Orta. Dogu. Tek. Univ.	Gelis Derg Orta dogu Tek Univ
Free world horizons	Free World Horiz.	Free World Horiz
Gaea; anales de la Sociedad Argentina de Estudios Geograficos	Gaea An. Soc. Argent. Estud. Geogr.	GAEA An Soc Argent Estud Geogr
Gallup report (Princeton, N.J. : 1981)	Gallup Rep.	Gallup Rep
Gender, place and culture : a journal of feminist geography	Gend. Place Cult.	Gend Place Cult
The gender cg newsletter	Gend. Cg Newsl.	Gend CG Newsl
Ge-magazine	Ge Mag.	Ge Mag
Genre (Los Angeles, Calif.)	Genre	Genre
Geocarto international	Geocarto Int.	Geocarto Int
Geo-Eco-Trop	Geo Eco Trop	Geo Eco Trop
Geografisk tidskrift	Geogr. Tidsskr.	Geogr Tidsskr
Geografski pregled. Revue de geographie	Geogr. Pregl.	Geogr Pregl
Geografski vestnik = Bulletin de la Societe de geographie de Ljubljana	Geogr. Vestn.	Geogr Vestn
Geographica (Madrid, Spain)	Geographica	Geographica
Geographica helvetica	Geogr. Helv.	Geogr Helv
The Geographical observer	Geogr. Obs.	Geogr Obs
Geographicalia	Geographicalia	Geographicalia
Global issues (Washington, D.C.)	Glob. Issues	Glob Issues
Economic geography	Econ. Geogr.	Econ Geogr
Futuribles (Paris, France : 1981)	Futuribles	Futuribles
Estudios geograficos	Estud. Geogr.	Estud Geogr
CEDPA network (Online)	Cedpa Netw.	CEDPA Netw
Social action	Soc. Action	Soc Action
A&M : advertising and marketing	A M	A M
Afrique 2000 (Geneva, Switzerland)	Afrique 2000	Afrique 2000
Bollettino di demografia storica	Boll. Demogr. Stor.	Boll Demogr Stor
Cambodge soir	Cambodge Soir	Cambodge Soir
Famplanco news	Famplanco News	Famplanco News
Boletn Asociacin Chilena de Proteccin de la Familia	Bol. Asoc. Chil. Prot. Fam.	Bol Asoc Chil Prot Fam
Al Darat	Al Darat	Al Darat
Environment folio	Environ. Folio	Environ Folio
Adolescence education newsletter	Adolesc. Educ. Newsl.	Adolesc Educ Newsl
Earth Negotiations Bulletin	Earth Negot. Bull.	Earth Negot Bull
Annales d'economie et de statistique	Ann. Econ. Stat. 1986.	Ann Econ Stat (1986)
Ageing international	Ageing Int.	Ageing Int
Guthrie Clinic bulletin	Guthrie Clin. Bull.	Guthrie Clin Bull
Toho Igakkai zasshi = Journal of the Medical Society of Toho University	Toho Igakkai Zasshi	Toho Igakkai Zasshi
The Journal of tropical medicine	J. Trop. Med. 1898.	J Trop Med (1898)
Patologia	Patologia Mex.	Patologia (Mex)
Quarterly journal of crude drug research = Vierteljahrliche Zietschrift fur Drogen-Forschung = Revue trimestrielle des recherches sur les matieres premieres	Q. J. Crude Drug Res.	Q J Crude Drug Res
Journal of the Pakistan Medical Association	J. Pak. Med. Assoc. 1951.	J Pak Med Assoc (1951)
Contrepoint	Contrepoint	Contrepoint
Indian journal of quantitative economics	Indian J. Quant. Econ.	Indian J Quant Econ
